6	4	31
3	21	38
3	7	11
0	11	9
4	6	17
3	10	30
4	7	23
7	4	20
11	18	27
5	11	10
2	10	34
8	17	28
5	10	16
4	18	29
3	8	20
4	3	11
4	9	21
3	10	18
3	6	10
5	27	115
8	29	57
21	36	65
2	7	14
8	16	28
5	16	36
4	11	10
7	13	21
6	9	26
9	25	39
2	11	13
8	9	25
5	13	18
6	10	17
2	26	19
2	5	7
2	2	7
3	16	25
6	23	52
6	24	52
8	11	53
4	12	14
9	7	26
10	16	37
7	16	18
2	7	8
16	42	90
6	18	45
5	11	16
5	15	42
2	23	65
4	6	9
7	17	26
8	11	15
14	39	52
4	10	19
2	7	14
7	19	27
1	7	26
4	6	19
7	3	17
9	7	19
9	28	58
5	7	23
14	26	49
3	9	20
6	4	15
3	4	10
7	7	17
0	12	20
2	6	10
8	15	31
4	7	14
4	13	29
2	3	16
3	13	16
4	11	36
3	13	49
6	10	18
2	12	20
3	8	17
13	39	50
3	10	35
1	4	15
5	16	42
4	9	14
2	5	11
5	14	29
6	12	26
0	6	19
9	9	38
4	14	23
1	4	21
20	32	65
4	15	23
4	20	46
6	23	30
10	44	94
3	16	38
1	6	16
9	12	31
1	8	17
4	5	17
4	8	10
2	5	10
3	4	9
3	9	25
5	3	14
1	2	5
3	20	18
5	5	14
7	10	15
5	4	11
2	8	18
4	23	27
1	8	22
0	2	8
8	8	10
6	5	23
13	12	27
4	8	16
5	9	16
6	16	29
5	8	17
4	5	20
5	10	24
1	3	9
4	8	12
5	6	11
4	3	8
0	1	7
1	7	7
3	10	18
3	9	19
2	8	17
4	11	10
2	10	6
6	3	23
1	6	8
5	13	21
2	9	28
4	8	4
2	8	6
4	7	24
4	12	44
2	3	8
3	7	25
3	8	21
4	9	17
4	5	16
3	7	19
9	7	28
4	12	32
4	5	10
5	3	9
5	6	21
4	11	25
0	2	10
8	15	37
5	12	18
0	1	12
4	0	8
0	3	4
10	37	63
3	2	6
6	16	50
3	5	8
4	7	7
3	5	8
5	6	26
2	6	16
2	7	14
4	11	16
8	35	69
2	2	11
0	6	11
1	3	7
0	17	29
2	6	17
10	20	29
4	23	36
1	3	9
8	22	46
7	17	27
4	5	16
10	21	28
2	9	29
2	14	37
6	8	3
3	7	12
5	9	20
2	5	15
4	7	16
2	10	32
10	9	27
9	9	34
5	22	46
12	25	40
8	5	11
6	9	8
11	21	34
1	4	25
2	13	27
7	6	4
1	1	4
8	16	36
10	9	26
0	6	15
2	6	37
4	15	20
10	27	58
4	4	7
3	5	8
2	8	15
6	11	19
6	10	16
2	22	45
2	15	21
11	10	20
0	3	10
3	4	11
5	17	15
7	13	15
3	3	16
5	6	16
9	9	22
1	4	9
4	19	28
8	27	32
5	28	60
5	5	14
4	11	15
6	12	13
5	12	25
7	12	31
4	12	9
2	7	13
4	20	40
6	12	27
6	4	19
11	25	56
1	7	11
8	9	20
4	6	29
4	6	17
6	9	25
2	8	16
2	8	7
8	19	56
4	6	22
5	10	12
6	12	25
3	11	21
7	9	14
4	13	16
5	4	9
12	5	13
6	21	45
6	43	84
2	10	31
9	8	18
1	6	10
4	9	16
4	7	11
3	19	25
3	11	29
7	10	20
4	4	7
4	7	15
3	4	7
5	11	16
2	6	8
2	4	16
11	20	24
3	2	8
9	9	13
9	14	24
6	12	41
4	5	9
4	5	10
7	24	37
4	4	3
5	13	34
13	39	70
7	12	20
1	9	21
3	6	9
6	11	20
6	14	18
8	5	9
4	11	30
7	16	31
11	36	65
3	3	5
7	19	20
0	9	22
13	20	62
3	14	42
6	16	40
5	3	18
7	9	13
4	8	24
7	12	22
11	21	53
7	10	24
5	9	9
6	11	30
2	7	11
14	5	23
6	16	18
12	11	32
5	9	16
3	10	7
6	7	20
5	12	33
3	17	20
1	9	13
6	13	19
5	5	13
16	25	33
4	6	17
3	18	36
2	1	5
4	7	21
8	12	33
2	5	8
4	2	6
3	7	13
8	29	58
2	5	17
1	8	14
7	7	8
13	31	43
2	4	18
0	5	7
2	5	16
9	17	32
2	11	18
8	13	24
5	3	13
1	7	28
3	12	21
3	12	40
2	7	27
1	5	12
4	5	13
10	14	18
3	3	0
11	9	41
2	7	13
1	9	20
3	21	35
4	17	35
3	8	24
1	8	13
6	6	15
20	30	67
3	3	18
8	12	13
5	5	19
4	7	11
2	6	9
4	5	22
5	10	20
2	8	5
5	10	25
7	4	8
2	6	24
6	10	13
2	3	15
6	9	14
9	13	44
2	13	33
7	11	32
1	11	12
6	3	15
2	5	8
4	14	20
4	4	8
1	4	12
3	6	19
8	14	24
4	5	11
4	11	17
10	15	30
6	10	16
3	3	15
6	13	24
2	8	31
3	2	7
9	21	57
10	11	42
7	16	30
8	14	14
2	3	10
3	12	48
2	6	15
2	0	10
11	33	34
6	7	20
3	6	17
6	5	17
3	2	14
4	7	4
7	18	30
2	4	12
3	8	31
7	7	9
4	11	20
4	10	18
12	20	41
4	17	21
6	43	79
6	12	17
0	10	21
6	5	11
3	12	33
1	2	6
1	3	14
8	28	73
10	11	20
5	5	17
5	5	9
6	9	16
2	13	19
5	1	16
1	7	20
13	19	32
7	3	6
2	5	10
2	10	13
7	19	33
7	7	9
5	16	22
2	6	14
5	16	30
5	5	4
5	6	13
3	12	19
16	30	57
5	9	23
6	11	36
10	13	21
5	13	16
5	8	42
5	7	24
5	9	11
4	16	42
2	14	30
8	24	45
4	18	34
6	12	36
5	10	18
2	13	19
6	18	51
4	9	14
5	7	15
5	6	11
1	4	11
3	16	33
2	3	11
2	12	48
3	4	13
6	12	27
4	6	19
9	21	52
3	11	21
0	12	21
8	17	47
3	6	17
2	10	37
3	13	35
3	7	16
2	1	14
1	3	12
0	6	11
5	9	20
6	11	24
4	6	17
3	15	18
6	15	28
3	7	11
4	15	29
0	3	19
2	12	24
3	1	1
12	22	62
4	3	9
4	6	19
5	6	13
4	3	3
3	7	17
4	8	24
10	17	26
3	7	22
4	4	9
3	12	22
5	12	19
13	30	63
5	11	26
6	16	50
1	8	20
3	20	25
7	11	36
9	15	41
5	5	9
2	8	21
5	12	29
3	9	17
4	8	18
1	7	13
2	7	19
4	16	32
7	8	24
4	8	7
2	5	11
6	15	54
1	17	15
5	13	17
3	8	9
4	14	24
6	19	37
9	7	13
10	13	37
9	13	44
